compound_id,chembl_target_degree,family_aware_degree,target_family_list,target_chembl_id_list,high_family_degree_flag
CHEMBL4469594,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4513423,4,1,Kinases,CHEMBL2842; CHEMBL3130; CHEMBL3267; CHEMBL4005,0
CHEMBL4518471,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4519664,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4520000,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4527338,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4530941,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4531900,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4532073,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4532366,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4533152,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4536608,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4536655,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4537564,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4538428,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4544202,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4545402,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4549719,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4554663,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4566022,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4567626,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4568307,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4569403,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4570423,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4573905,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4581364,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4583024,4,1,Other enzymes,CHEMBL1858; CHEMBL1895; CHEMBL2424506; CHEMBL4088,0
CHEMBL4586115,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4588244,4,1,Other/unclassified,CHEMBL4523143; CHEMBL4531; CHEMBL4915; CHEMBL5475,0
CHEMBL4591567,4,1,Kinases,CHEMBL3130; CHEMBL3145; CHEMBL3267; CHEMBL4005,0
CHEMBL4593416,4,1,Kinases,CHEMBL2842; CHEMBL3130; CHEMBL3145; CHEMBL3267,0
CHEMBL4638601,4,1,Carbonic anhydrases,CHEMBL2326; CHEMBL3242; CHEMBL3969; CHEMBL4789,0
CHEMBL4649280,4,1,Carbonic anhydrases,CHEMBL2326; CHEMBL3242; CHEMBL3969; CHEMBL4789,0
CHEMBL4750356,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4756105,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4756231,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4761017,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4761025,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4763272,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4764288,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4778064,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL477822,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL478669,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4845700,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4846304,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4851758,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4855281,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4856438,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4858765,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4860266,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4860280,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4860675,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4863083,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4863904,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL486686,4,1,Other enzymes,CHEMBL2563; CHEMBL2716; CHEMBL3524; CHEMBL4145,0
CHEMBL4869248,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4873316,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4874085,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4876101,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL4876151,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL489182,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL492022,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL514556,4,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL5433282,4,1,Other/unclassified,CHEMBL1781865; CHEMBL2062348; CHEMBL4295757; CHEMBL5460,0
CHEMBL75121,4,1,Cholinesterases,CHEMBL1914; CHEMBL220; CHEMBL4078; CHEMBL5763,0
CHEMBL113230,3,1,G protein-coupled receptors,CHEMBL253; CHEMBL3571; CHEMBL5373,0
CHEMBL120590,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL234; CHEMBL273,0
CHEMBL120661,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL234; CHEMBL273,0
CHEMBL1258747,3,1,Other enzymes,CHEMBL2916; CHEMBL2949; CHEMBL4102,0
CHEMBL1307271,3,1,Other/unclassified,CHEMBL1293251; CHEMBL1795086; CHEMBL3880,0
CHEMBL1322914,3,1,Cytochrome P450s,CHEMBL289; CHEMBL3356; CHEMBL3397,0
CHEMBL1323317,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1335052,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL340; CHEMBL3622,0
CHEMBL1335064,3,1,Proteases,CHEMBL2007629; CHEMBL333; CHEMBL4471,0
CHEMBL1340864,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1370260,3,1,Other enzymes,CHEMBL3151; CHEMBL5573; CHEMBL5979,0
CHEMBL1370536,3,1,Other/unclassified,CHEMBL1293251; CHEMBL1741163; CHEMBL4450,0
CHEMBL1371243,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1378353,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL340; CHEMBL3622,0
CHEMBL1382643,3,1,Proteases,CHEMBL1250413; CHEMBL2366; CHEMBL3411,0
CHEMBL1403554,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL340,0
CHEMBL1406911,3,1,Other/unclassified,CHEMBL1741194; CHEMBL1795086; CHEMBL3880,0
CHEMBL1407021,3,1,Other enzymes,CHEMBL2007628; CHEMBL2635; CHEMBL3864,0
CHEMBL140796,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL1409167,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1409292,3,1,Cytochrome P450s,CHEMBL289; CHEMBL3356; CHEMBL3397,0
CHEMBL1409828,3,1,G protein-coupled receptors,CHEMBL2955; CHEMBL3230; CHEMBL4333,0
CHEMBL141680,3,1,Ion channels and transporters,CHEMBL2086; CHEMBL2309; CHEMBL4818,0
CHEMBL142582,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL142738,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL142916,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL143316,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL143555,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL1441570,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL145003,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL1451176,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL145452,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL145503,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL145792,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL1464332,3,1,Other/unclassified,CHEMBL1293222; CHEMBL1293266; CHEMBL1825,0
CHEMBL1484400,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1489711,3,1,Other enzymes,CHEMBL2007628; CHEMBL2635; CHEMBL3864,0
CHEMBL150372,3,1,Other enzymes,CHEMBL1900; CHEMBL1973; CHEMBL5485,0
CHEMBL1506329,3,1,Other/unclassified,CHEMBL1293286; CHEMBL1293304; CHEMBL1293319,0
CHEMBL1518304,3,1,Proteases,CHEMBL1250413; CHEMBL2366; CHEMBL3411,0
CHEMBL1524629,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL1533148,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL340; CHEMBL3622,0
CHEMBL1567121,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL340; CHEMBL3622,0
CHEMBL1583960,3,1,Other enzymes,CHEMBL1293244; CHEMBL1293246; CHEMBL1293260,0
CHEMBL158660,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL158693,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL1587369,3,1,Cytochrome P450s,CHEMBL289; CHEMBL3356; CHEMBL3622,0
CHEMBL158827,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL1596513,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL340; CHEMBL3622,0
CHEMBL1603267,3,1,Cytochrome P450s,CHEMBL3356; CHEMBL3397; CHEMBL3622,0
CHEMBL161032,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161371,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161438,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161443,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161560,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161658,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL161802,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL162021,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL1688543,3,1,Other enzymes,CHEMBL1697656; CHEMBL2755; CHEMBL3902,0
CHEMBL1688544,3,1,Other enzymes,CHEMBL1697656; CHEMBL2755; CHEMBL3902,0
CHEMBL1701468,3,1,Proteases,CHEMBL1741185; CHEMBL2366; CHEMBL3411,0
CHEMBL1777843,3,1,G protein-coupled receptors,CHEMBL226; CHEMBL251; CHEMBL256,0
CHEMBL1777846,3,1,G protein-coupled receptors,CHEMBL226; CHEMBL251; CHEMBL256,0
CHEMBL1822046,3,1,Other enzymes,CHEMBL1865; CHEMBL3192; CHEMBL325,0
CHEMBL1835807,3,1,Nuclear receptors,CHEMBL1871; CHEMBL2034; CHEMBL208,0
CHEMBL1835832,3,1,Nuclear receptors,CHEMBL1871; CHEMBL2034; CHEMBL208,0
CHEMBL18978,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL1927183,3,1,Proteases,CHEMBL280; CHEMBL333; CHEMBL3869,0
CHEMBL1938471,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1951641,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957172,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957175,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957178,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957180,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957184,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957185,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957186,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957187,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL1957188,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL214255,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL2172254,3,1,Other enzymes,CHEMBL4681; CHEMBL5847; CHEMBL5905,0
CHEMBL2177249,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2177250,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2177253,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2177257,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2177259,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2177263,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2181544,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2181546,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2203962,3,1,Proteases,CHEMBL268; CHEMBL2954; CHEMBL4072,0
CHEMBL2309599,3,1,G protein-coupled receptors,CHEMBL3176; CHEMBL4894; CHEMBL5577,0
CHEMBL2387227,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387228,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387232,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387233,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387237,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387238,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387239,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387241,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387244,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387245,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387248,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387249,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387250,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387251,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387254,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387255,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387256,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387257,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387258,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387259,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387262,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387267,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL2387532,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2387533,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2387536,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2387538,3,1,G protein-coupled receptors,CHEMBL1075322; CHEMBL218; CHEMBL253,0
CHEMBL2391486,3,1,Cholinesterases,CHEMBL220; CHEMBL4078; CHEMBL5763,0
CHEMBL239508,3,1,Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL2993,0
CHEMBL2425487,3,1,Kinases,CHEMBL1075282; CHEMBL2147; CHEMBL2292,0
CHEMBL252674,3,1,Proteases,CHEMBL321; CHEMBL333; CHEMBL3706,0
CHEMBL253489,3,1,Proteases,CHEMBL321; CHEMBL333; CHEMBL3706,0
CHEMBL253694,3,1,Proteases,CHEMBL321; CHEMBL333; CHEMBL3706,0
CHEMBL265805,3,1,G protein-coupled receptors,CHEMBL319; CHEMBL322; CHEMBL339,0
CHEMBL266712,3,1,G protein-coupled receptors,CHEMBL253; CHEMBL3571; CHEMBL5373,0
CHEMBL267854,3,1,Proteases,CHEMBL321; CHEMBL333; CHEMBL3706,0
CHEMBL270672,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL298108,3,1,G protein-coupled receptors,CHEMBL319; CHEMBL322; CHEMBL339,0
CHEMBL301141,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3120165,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120678,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120680,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120683,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120686,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120690,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120691,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120693,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120694,3,1,G protein-coupled receptors,CHEMBL3138; CHEMBL322; CHEMBL324,0
CHEMBL3120695,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL3120698,3,1,G protein-coupled receptors,CHEMBL273; CHEMBL322; CHEMBL339,0
CHEMBL314095,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL219; CHEMBL234,0
CHEMBL3208526,3,1,Cytochrome P450s,CHEMBL289; CHEMBL3356; CHEMBL3622,0
CHEMBL328054,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL219; CHEMBL234,0
CHEMBL329126,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL219; CHEMBL234,0
CHEMBL330100,3,1,G protein-coupled receptors,CHEMBL217; CHEMBL219; CHEMBL234,0
CHEMBL3322093,3,1,Carbonic anhydrases,CHEMBL3242; CHEMBL3594; CHEMBL3729,0
CHEMBL3354142,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL340625,3,1,Cholinesterases,CHEMBL220; CHEMBL3199; CHEMBL3403,0
CHEMBL3416552,3,1,Other enzymes,CHEMBL3414417; CHEMBL3784; CHEMBL4669,0
CHEMBL342327,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL345585,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL347252,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL348922,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL348978,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL348997,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL350327,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL350430,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL351044,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL351692,3,1,Carbonic anhydrases,CHEMBL205; CHEMBL261; CHEMBL281,0
CHEMBL356714,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL356977,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL357614,3,1,Monoamine oxidases,CHEMBL2039; CHEMBL2993; CHEMBL3358,0
CHEMBL3582270,3,1,G protein-coupled receptors,CHEMBL223; CHEMBL229; CHEMBL232,0
CHEMBL3582272,3,1,G protein-coupled receptors,CHEMBL223; CHEMBL229; CHEMBL232,0
CHEMBL3601437,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3601438,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3601440,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3601441,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3601508,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3601509,3,1,Cytochrome P450s,CHEMBL2231; CHEMBL3356; CHEMBL4878,0
CHEMBL3623325,3,1,Other enzymes,CHEMBL2378; CHEMBL3775; CHEMBL4804,0
CHEMBL3623664,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623667,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623668,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623669,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623670,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623672,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623674,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3623675,3,1,Carbonic anhydrases,CHEMBL261; CHEMBL3242; CHEMBL3594,0
CHEMBL3914193,3,1,G protein-coupled receptors,CHEMBL226; CHEMBL251; CHEMBL256,0
CHEMBL3950921,3,1,G protein-coupled receptors,CHEMBL226; CHEMBL251; CHEMBL256,0
CHEMBL3953745,3,1,Ion channels and transporters,CHEMBL2309; CHEMBL4306; CHEMBL4633,0
CHEMBL402990,3,1,Proteases,CHEMBL321; CHEMBL333; CHEMBL3706,0
CHEMBL4062197,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4063233,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4065539,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4065986,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4069089,3,1,Carbonic anhydrases,CHEMBL3242; CHEMBL3594; CHEMBL3729,0
CHEMBL4069891,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4070807,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4076002,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4076291,3,1,Carbonic anhydrases,CHEMBL3242; CHEMBL3594; CHEMBL3729,0
CHEMBL4076451,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4076889,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4077052,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4077653,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
CHEMBL4079043,3,1,Other enzymes,CHEMBL221; CHEMBL230; CHEMBL312,0
